UniprotID	logFC	AveExpr	t	P.Value	adj.P.Val	B	PG.Genes	PG.ProteinDescriptions	contrast
Q86W42	-1.63142226852217	12.007273449518	-3.24387827400501	0.00566694684861744	0.0224029116500079	-2.95206527568898	THOC6	THO complex subunit 6 homolog	K57A_vs_Beads_str
Q15120	-0.865752948654464	13.112089956161	-3.24238970573527	0.00568399977198107	0.0224427214584117	-2.9550234596475	PDK3	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial	K57A_vs_Beads_str
O60231	1.63783810086468	12.766850318178	3.24164240467305	0.005692580034789	0.0224490211433274	-2.95650847036187	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	K57A_vs_Beads_str
Q13724	-0.64249516704383	14.4231537696921	-3.24090544109921	0.00570105422573795	0.0224548875999042	-2.95797288844618	MOGS	Mannosyl-oligosaccharide glucosidase	K57A_vs_Beads_str
P62312	-0.78312977040382	14.0793614722452	-3.23852476515527	0.00572851496875994	0.0225354309786958	-2.96270317986822	LSM6	U6 snRNA-associated Sm-like protein LSm6	K57A_vs_Beads_str
P61626	-1.65788590566782	13.9570220110732	-3.23721471667101	0.00575044522613318	0.0225940476244402	-2.96604773625716	LYZ	Lysozyme C	K57A_vs_Beads_str
Q96MU7	-4.80247280152266	12.7914394037354	-3.22820401476626	0.00595421690380014	0.0233661210364025	-2.99440101902186	YTHDC1	YTH domain-containing protein 1	K57A_vs_Beads_str
Q14697	-0.647264724775244	17.0607973775334	-3.21784038795331	0.00597271090860732	0.0234101132442243	-3.00377964672256	GANAB	Neutral alpha-glucosidase AB	K57A_vs_Beads_str
P63010	-0.361176344240546	15.6351138134019	-3.21606207770123	0.00599418224898512	0.0234656537737371	-3.00730922566151	AP2B1	AP-2 complex subunit beta	K57A_vs_Beads_str
Q13895	3.95345097250881	12.4682181811495	3.22032234910469	0.00604901711248918	0.0236334112740151	-3.0099591235781	BYSL	Bystin	K57A_vs_Beads_str
Q9HC35	-0.582786253174968	15.2120810180613	-3.21132592286905	0.00605174159256828	0.0236334112740151	-3.01670800854974	EML4	Echinoderm microtubule-associated protein-like 4	K57A_vs_Beads_str
P62328	6.51350934824959	9.56378832350815	3.20831398626084	0.00608863156835547	0.0237486187629787	-3.02268397469249	TMSB4X	Thymosin beta-4	K57A_vs_Beads_str
P12270	-0.522409059963211	14.9637409212779	-3.2072051905349	0.00610226821021442	0.0237729576092475	-3.02488370369896	TPR	Nucleoprotein TPR	K57A_vs_Beads_str
Q9HC44	4.16327553099013	14.5373585551528	3.21310977005679	0.00613708519553481	0.0238796511119236	-3.02419152125542	GPBP1L1	Vasculin-like protein 1	K57A_vs_Beads_str
Q9NRL3	-0.892567017450995	14.6309189518061	-3.20108709220278	0.00617805972091503	0.0240100168597593	-3.03701913360095	STRN4	Striatin-4	K57A_vs_Beads_str
