accession	AMP_vs_Beads_str	AMP_vs_Beads_unst	AMP_vs_K57A_str	AMP_vs_K57A_unst	K57A_vs_Beads_str	K57A_vs_Beads_unst
Q9HC38	0	0	0	1	0	0
Q9HC44	0	0	1	1	0	0
Q9HCC0	1	1	0	1	1	1
Q9HCE1	0	0	0	0	0	0
Q9HCK5;Q9UL18	1	0	1	0	0	0
Q9HCM4	0	0	0	1	0	0
Q9HCN4	0	1	1	1	0	1
Q9HCN8	0	0	1	1	0	0
Q9HCU5	1	1	0	1	1	1
Q9HCY8	1	1	0	0	1	1
Q9HD20	1	1	0	1	1	1
Q9HD26	1	1	1	1	0	1
Q9HD33	0	0	0	0	1	0
Q9HD34	1	1	1	0	1	1
Q9HD40	0	0	0	0	1	0
Q9HD45	1	1	1	0	1	1
Q9NNW5	0	0	0	0	0	0
Q9NP50	0	1	0	0	0	1
Q9NP73	1	0	0	0	1	0
Q9NP77	0	0	0	0	1	1
Q9NP79	0	1	1	1	0	1
Q9NP81	0	0	0	0	1	1
Q9NP92	0	0	0	0	1	0
Q9NP97	1	1	1	1	0	1
Q9NPA3	1	1	1	1	1	0
Q9NPA8	1	0	1	1	0	0
Q9NPD3	0	0	0	0	0	0
Q9NPD8	0	0	0	0	1	1
Q9NPE3	0	0	0	0	0	0
Q9NPF4	1	1	1	1	1	0
Q9NPH2	0	0	1	0	0	0
Q9NPI6	0	1	0	0	0	1
Q9NPJ6	1	0	1	0	1	0
Q9NPQ8	1	1	1	1	0	1
Q9NQ29	0	0	0	0	0	0
Q9NQ50	0	0	1	1	0	0
Q9NQ55	0	0	1	0	0	0
Q9NQC8	1	1	1	1	1	0
Q9NQG5	0	0	0	0	0	0
Q9NQT4	0	0	0	0	0	0
Q9NQT5	0	0	0	0	0	0
Q9NQW7	0	0	0	0	1	1
Q9NQX3	1	1	1	0	1	1
Q9NQZ2	1	1	1	1	0	1
Q9NR09	1	1	0	1	1	1
Q9NR12	0	0	0	1	0	0
Q9NR28	1	1	1	1	0	0
Q9NR30	0	0	1	0	0	0
Q9NR31	0	1	1	1	0	0
Q9NR33	0	0	0	0	1	0
Q9NR45	1	1	1	0	1	1
Q9NR46	1	1	1	1	0	1
Q9NR50	1	1	1	0	1	1
Q9NR56	0	0	1	0	0	0
Q9NR96	0	0	0	0	0	0
Q9NRG9	1	1	0	0	1	1
Q9NRL3	1	1	0	0	1	1
Q9NRM2	0	0	0	0	0	0
Q9NRN7	0	1	1	1	0	0
Q9NRP0	1	1	1	1	0	1
Q9NRP2	1	0	1	0	1	0
Q9NRR4	0	0	0	0	0	0
Q9NRW7	1	1	1	0	1	1
Q9NRX1	0	1	1	1	0	1
Q9NRX2	0	0	0	0	1	0
Q9NRX4	0	1	0	1	1	0
Q9NRY2	1	0	1	1	0	0
Q9NS69	1	1	1	0	1	1
Q9NS86	1	1	0	1	1	1
Q9NSD9	0	0	0	0	0	0
Q9NSE4	1	1	1	1	0	1
Q9NSI2	1	1	1	0	1	1
Q9NSV4	0	0	0	0	0	1
Q9NSY1	0	0	0	0	0	0
Q9NT62	0	0	0	0	1	1
Q9NTJ3	1	0	0	0	1	0
Q9NTJ5	1	1	1	0	1	1
Q9NTK5	0	0	0	0	0	1
Q9NTZ6	0	0	0	0	0	0
Q9NUD5	0	0	0	0	0	0
Q9NUL3	0	0	0	0	0	0
Q9NUP7	1	1	1	1	1	0
Q9NUP9	1	1	1	1	0	1
Q9NUQ3	1	0	1	0	1	0
Q9NUQ6	1	1	1	0	0	1
Q9NUU7;Q9UMR2	0	0	1	1	0	0
Q9NV06	0	1	0	1	1	0
Q9NV56	0	0	0	0	0	0
Q9NVA1	1	1	1	1	0	0
Q9NVA2	0	1	1	1	0	0
Q9NVE7	0	1	0	1	1	1
Q9NVI1	1	1	0	1	1	0
Q9NVI7	0	0	0	1	0	0
Q9NVM9	0	1	0	0	1	1
Q9NVP1	0	0	0	0	0	0
Q9NVP2	1	0	0	0	1	1
Q9NVS2	0	0	0	0	1	0
Q9NVS9	1	1	1	1	0	1
Q9NVV4	1	0	0	1	1	0
Q9NVZ3	0	0	0	0	0	0
Q9NW13	1	0	1	1	1	0
Q9NW08	1	1	1	0	1	1
Q9NW64	0	0	1	1	0	0
Q9NW68	1	1	1	0	1	1
Q9NW75	0	1	0	1	0	1
Q9NW82	1	1	0	0	1	1
Q9NWB6	0	0	0	0	0	0
Q9NWM8	1	0	1	0	1	1
Q9NWS0	1	0	1	1	0	0
Q9NWT1	1	1	1	1	1	0
Q9NWU5	0	0	0	0	0	0
Q9NWX6	1	0	1	0	0	1
Q9NX07	0	0	0	0	1	1
Q9NX14	1	0	1	0	1	1
Q9NX20	0	0	1	0	0	0
Q9NX24	1	0	0	0	1	0
Q9NX58	0	0	0	0	0	0
Q9NX74	0	0	0	0	0	0
Q9NXC5	1	1	1	1	0	0
Q9NXG2	0	0	0	1	0	0
Q9NXH9	0	0	0	0	0	0
Q9NXL6	0	0	0	1	0	0
Q9NXU5	1	1	1	1	0	1
Q9NXV2	0	0	1	1	0	0
Q9NXV6	0	1	1	0	0	1
Q9NY12	0	0	0	0	0	0
Q9NY27	0	0	0	0	0	0
Q9NY93	0	0	0	0	0	0
Q9NYB0	0	0	0	0	1	0
Q9NYB9	1	1	1	0	1	1
Q9NYF8	0	0	1	0	0	0
Q9NYK5	0	0	0	0	0	0
Q9NYL2	1	0	1	1	0	0
Q9NYR9	1	1	1	1	0	1
Q9NYU2	1	1	1	1	0	1
Q9NYV4	1	0	1	1	0	0
Q9NZ01	0	1	0	1	1	1
Q9NZB2	1	1	1	0	1	1
Q9NZC9	1	1	1	0	1	1
Q9NZE8	0	0	0	0	0	0
Q9NZH8	1	0	0	0	1	1
Q9NZI8	0	0	1	0	0	0
Q9NZL4	0	0	1	1	0	0
Q9NZL9	1	1	1	1	0	0
Q9NZM5	0	0	0	1	0	0
Q9NZR1	1	0	0	0	1	1
Q9NZT1	1	1	0	1	1	1
Q9NZT2	0	0	1	1	0	0
Q9NZW5	0	1	1	0	0	1
Q9P0J0	1	1	1	0	1	1
Q9P0J1	1	1	1	1	0	1
Q9P0J7	1	0	0	1	1	0
Q9P0L2	0	1	0	1	0	1
Q9P0M9	0	0	0	0	0	0
Q9P0S2	0	0	0	0	0	0
Q9P1Z2	0	0	0	0	1	0
Q9P2E9	0	1	0	0	0	1
Q9P2K3;Q9UKL0	0	1	1	1	0	0
Q9P2N5	1	0	1	0	0	0
Q9P2R7	1	1	1	0	0	1
Q9P015	0	0	0	0	1	0
Q9P016	0	0	0	0	0	0
Q9P021	1	0	0	0	1	1
Q9P031	0	1	1	1	0	1
Q9P032	1	1	1	1	0	0
Q9P258	0	0	0	0	0	0
Q9P265	0	0	1	0	0	0
Q9P275	0	1	0	0	0	1
Q9P287	1	1	1	1	0	1
Q9P289	0	0	1	1	0	0
Q9UBD5	0	1	0	0	1	1
Q9UBE0	1	1	1	1	0	1
Q9UBF2	1	1	1	1	0	0
Q9UBF6	1	1	0	1	1	1
Q9UBF8	0	0	1	0	0	0
Q9UBI9	1	0	0	1	1	0
Q9UBK9	1	1	0	1	1	1
Q9UBL3	0	1	0	0	1	1
Q9UBP6	0	0	0	0	1	0
Q9UBQ0	1	1	1	1	0	1
Q9UBS4	0	0	1	1	0	0
Q9UBT2	0	0	1	0	0	0
Q9UBU8	0	0	1	0	0	0
Q9UBU9	0	0	1	1	0	0
Q9UBV8	1	1	0	1	1	1
Q9UDW1	0	0	0	0	0	0
Q9UDY2	0	0	0	0	1	0
Q9UET6	0	0	1	0	0	0
Q9UEY8	1	1	0	1	1	1
Q9UFW8	0	0	0	0	0	0
Q9UG63	1	0	1	0	0	0
Q9UGI8	0	1	0	0	0	1
Q9UGM6	0	0	0	0	1	0
Q9UGN5	0	0	0	0	0	0
Q9UGP4	1	0	1	0	0	0
Q9UH62	0	0	0	1	0	0
Q9UH65	1	1	1	0	1	1
Q9UHA4	1	1	1	1	0	0
Q9UHB9	1	0	1	1	0	0
Q9UHF7	0	1	0	1	0	1
Q9UHG3	1	1	0	0	1	1
Q9UHI6	0	0	0	0	0	0
Q9UHN1	0	0	0	0	0	0
Q9UHR5	0	0	1	1	0	0
Q9UHR6	1	1	1	0	1	1
Q9UHX1	0	0	0	0	0	0
Q9UHY1	1	1	1	1	0	1
Q9UHY7	0	0	0	0	1	1
Q9UI09	0	0	0	0	1	0
Q9UI10	1	1	1	0	1	1
Q9UI30	0	0	0	1	0	0
Q9UI36	0	0	0	0	0	1
Q9UI42	0	1	0	0	1	1
Q9UIA9	0	0	0	0	0	0
Q9UIQ6	0	0	0	0	1	0
Q9UIV1	0	1	0	0	1	1
Q9UJ14	0	0	0	0	1	1
Q9UJA5	0	0	0	0	0	0
Q9UJC5	1	0	1	0	1	1
Q9UJF2	0	0	0	0	1	0
Q9UJU6	1	0	1	0	1	1
Q9UJX2	1	1	1	1	0	0
Q9UJX3	1	1	0	1	1	1
Q9UJX4	1	1	1	1	0	0
Q9UJX5	1	1	0	1	1	1
Q9UJZ1	1	1	1	1	0	0
Q9UK45	0	0	0	0	1	1
Q9UK59	1	1	0	0	1	1
Q9UK73	1	1	1	1	0	0
Q9UK99	1	1	1	1	0	0
Q9UKB1	0	1	0	1	1	1
Q9UKB3	1	0	1	1	0	0
Q9UKD2	0	0	0	0	0	0
Q9UKF6	1	1	1	1	0	1
Q9UKG1	1	1	0	1	1	1
Q9UKM9	0	0	1	0	0	0
Q9UKN8	0	0	0	0	0	0
Q9UKS6	0	0	0	0	0	0
Q9UKV3	0	0	1	0	0	0
Q9UKY7	0	0	0	0	0	0
Q9UL15	1	1	1	1	0	0
Q9UL25	1	1	1	0	1	1
Q9UL33	0	1	0	0	1	1
Q9UL40	0	0	0	0	1	1
Q9UL42	0	1	0	1	0	0
Q9UL46	1	0	1	0	1	1
Q9UL54	0	0	0	0	0	0
Q9ULK4	0	0	0	0	0	0
Q9ULM3	0	0	0	0	0	1
Q9ULT8	1	1	1	1	0	0
Q9ULW0	0	0	0	1	0	0
Q9ULX3	0	0	1	1	0	0
Q9ULX6	1	0	1	1	0	0
Q9UM00	1	0	1	0	0	0
Q9UM13	1	0	1	0	0	0
Q9UM54	1	0	1	0	1	1
Q9UMS4	1	1	1	0	1	1
Q9UMX5	0	0	0	1	0	0
Q9UMY1	1	0	1	1	0	0
Q9UN37	1	1	1	1	0	1
Q9UN81	0	0	0	0	0	0
Q9UN86	0	0	1	0	0	0
Q9UNE7	0	1	1	1	0	0
Q9UNF0	1	0	1	0	1	1
Q9UNK9	0	0	0	0	0	0
Q9UNQ2	0	0	0	0	0	0
Q9UNX3	0	0	0	0	0	0
Q9UNX4	0	0	0	0	0	0
Q9UNZ5	0	0	0	0	0	0
Q9UPN3	0	0	0	0	1	1
Q9UPN6	1	0	0	0	1	0
Q9UPP1	0	0	0	0	1	0
Q9UPR3	0	0	0	0	1	0
Q9UPT8	0	0	1	0	0	0
Q9UPW5	1	1	1	0	0	1
Q9UPY3	0	1	0	0	0	1
Q9UQ13	0	1	0	0	0	1
Q9UQ35	1	1	0	1	1	1
Q9UQ80	0	0	0	0	0	0
Q9UQE7	1	1	1	0	1	1
Q9Y2A7	1	1	1	0	1	1
Q9Y2B0	0	1	0	1	0	1
Q9Y2C4	0	1	0	1	0	0
Q9Y2D5	1	1	1	0	1	1
Q9Y2I6	0	0	0	0	1	0
Q9Y2J2	1	1	1	1	1	0
Q9Y2L1	1	0	1	1	0	0
Q9Y2Q5	0	1	1	1	0	1
Q9Y2Q9	0	0	1	0	0	0
Q9Y2R0	0	0	1	0	0	0
Q9Y2R5	0	0	0	0	0	0
Q9Y2R9	0	0	0	0	0	0
Q9Y2S6	1	0	1	0	0	0
Q9Y2S7	1	1	1	1	0	0
Q9Y2T2	1	1	1	1	1	0
Q9Y2V2	1	0	1	0	1	0
Q9Y2W1	1	0	0	0	1	0
Q9Y2W2	0	0	0	0	0	0
Q9Y2X3	0	0	0	1	0	0
Q9Y2X7	1	1	1	0	1	1
Q9Y2Y1	1	1	1	1	0	1
Q9Y2Z0	0	1	1	1	0	0
Q9Y3A5	0	0	0	0	1	1
Q9Y3B2	0	0	0	0	0	0
Q9Y3B4	1	1	0	0	1	1
Q9Y3B7	0	0	0	0	0	0
Q9Y3B9	0	0	1	1	0	0
Q9Y3C0	0	0	0	0	0	0
Q9Y3C1	0	0	0	0	0	0
Q9Y3C4	0	0	0	1	0	0
Q9Y3C6	0	0	0	0	0	0
Q9Y3C8	0	1	0	1	0	1
Q9Y3D3	0	0	1	0	0	0
Q9Y3D5	0	0	0	0	0	0
Q9Y3D6	1	1	1	1	0	0
Q9Y3D8	0	1	0	1	1	1
Q9Y3D9	0	0	1	0	0	0
Q9Y3E5	1	0	1	1	1	0
Q9Y3I0	0	0	0	0	0	0
Q9Y3T9	0	0	1	0	0	0
Q9Y3U8	0	0	0	0	0	0
Q9Y3Y2	0	0	0	0	0	0
Q9Y3Z3	1	1	1	1	0	1
Q9Y4B6	1	1	0	1	1	1
Q9Y4C2	1	1	1	1	0	1
Q9Y4D8	0	0	0	0	0	1
Q9Y4E8	1	1	1	1	0	1
Q9Y4H2	0	1	0	1	0	1
Q9Y4L1	1	1	1	1	0	1
Q9Y4P3	0	0	1	0	0	0
Q9Y4R8	1	1	0	0	1	1
Q9Y4W6	0	0	1	0	0	0
Q9Y4Y9	1	1	1	0	1	1
Q9Y4Z0	1	1	1	1	1	0
Q9Y5J1	0	0	0	1	0	0
Q9Y5K5	1	1	1	1	1	0
Q9Y5K6	1	1	1	1	0	1
Q9Y5L0	0	0	0	0	0	1
Q9Y5P6	1	1	1	0	1	1
Q9Y5Q8	0	0	1	0	0	0
Q9Y5Q9	0	0	0	0	1	0
Q9Y5R8	1	0	1	0	1	0
Q9Y5S9	0	0	0	0	0	0
Q9Y5T5	0	0	0	0	0	0
Q9Y5V0	0	0	0	0	1	0
Q9Y5Y2	1	1	1	1	0	1
Q9Y5Z4	0	0	0	0	1	1
Q9Y6A4	0	0	1	0	0	0
Q9Y6A5	1	1	1	0	1	1
Q9Y6C9	0	1	1	1	0	1
Q9Y6E0	1	1	1	0	1	1
Q9Y6H1	1	1	1	0	1	1
Q9Y6M1	1	0	1	0	0	0
Q9Y6R4	1	1	1	1	0	1
Q9Y6V7	0	0	1	0	0	0
Q9Y6W5	1	0	1	0	1	0
Q9Y6X9	0	1	0	0	0	1
Q9Y6Y8	1	0	1	1	1	0
Q9Y221	0	0	0	0	0	0
Q9Y224	0	0	0	0	0	0
Q9Y230	1	1	1	1	0	0
Q9Y237	0	0	0	0	1	0
Q9Y241	0	1	0	0	1	1
Q9Y244	0	0	1	0	0	0
Q9Y265	1	1	1	1	0	0
Q9Y266	0	0	1	1	0	0
Q9Y277	1	1	1	1	0	0
Q9Y285	0	0	0	0	1	0
Q9Y291	0	0	0	0	0	0
Q9Y294	0	0	1	0	0	0
Q9Y295	0	0	1	0	0	0
Q9Y305	1	1	1	0	1	1
Q9Y314	0	0	0	0	0	0
Q9Y316	1	1	0	0	1	1
Q9Y333	0	0	0	0	1	1
Q9Y366	0	0	0	0	1	1
Q9Y376	0	1	0	0	0	1
Q9Y383	0	0	0	0	0	0
Q9Y399	0	0	0	0	0	0
Q9Y421	0	0	0	0	0	0
Q9Y450	0	0	0	0	0	0
Q9Y490	1	1	1	0	1	1
Q9Y508	0	0	1	0	0	0
Q9Y570	0	0	0	0	1	0
Q9Y580	0	0	1	0	0	0
Q9Y605	0	0	0	0	0	0
Q9Y606	0	0	0	0	0	0
Q9Y608	1	1	1	0	1	1
Q9Y617	1	1	1	1	0	0
Q9Y639	1	1	1	1	0	1
Q9Y657	1	1	1	0	1	1
Q9Y672	0	0	1	1	0	0
Q9Y676	0	0	1	0	0	0
Q9Y680	1	1	1	1	0	1
Q00013	0	0	0	0	0	0
Q14CX7	0	0	0	1	0	0
Q17RN3	0	1	0	1	0	0
Q17RY0;Q7Z5Q1;Q8NE35	1	0	0	0	1	1
Q27J81	0	0	0	1	1	0
Q29RF7	0	0	0	0	0	0
Q32MZ4	1	1	1	0	1	1
Q32P28	1	0	1	0	0	0
Q52LJ0	0	0	0	0	0	0
Q53EL6	1	0	1	1	0	0
Q53ET0	0	0	0	0	0	0
Q53GG5	1	0	1	0	1	1
Q53GQ0	0	1	1	1	0	1
Q53GS9	0	0	1	0	0	0
Q53H47	1	1	1	0	1	1
Q53H82	1	1	1	1	0	0
Q53RT3	1	1	0	0	1	1
Q53SF7	0	0	0	0	1	1
Q53T59	1	1	1	0	1	1
Q56P03	1	1	0	1	1	0
Q58FF6	1	1	0	0	1	1
Q58FF8	1	1	1	1	0	1
Q00059	0	0	1	0	0	0
Q66K74	0	1	0	0	1	1
Q66LE6	0	0	0	0	1	1
Q66PJ3	0	0	0	0	0	0
Q68CQ4	0	1	0	1	0	1
Q68CZ6	0	0	0	1	0	0
Q68DK2	0	0	0	0	0	0
Q68DU8	0	0	0	0	1	0
Q68E01	0	1	0	0	1	1
Q69YN4	0	1	1	1	0	0
Q71RC2	1	0	1	1	1	0
Q71UM5	0	0	0	1	0	0
Q76I76	1	0	1	0	1	0
Q76L83	0	1	0	0	0	1
Q86SG5	1	0	1	1	1	0
Q86TG7	0	0	0	1	0	0
Q86TI2	1	1	1	1	1	0
Q86TP1	1	0	1	0	1	1
Q86TU7	0	0	0	0	1	1
Q86U28	1	1	1	0	1	1
Q86U38	0	1	0	1	0	1
Q86U42	0	0	0	0	0	1
Q86U44	1	0	1	0	0	0
Q86U70	1	0	1	0	0	1
Q86U86	0	0	0	0	1	0
Q86U90	1	0	0	0	1	0
Q86UA1	1	1	0	1	1	1
Q86UE4	1	0	0	0	1	1
Q86UP2	1	1	1	1	0	1
Q86V81	1	0	1	1	1	0
Q86W34	0	0	0	1	0	0
Q86W42	1	1	1	0	1	1
Q86W50	1	0	0	0	1	1
Q86W56	1	0	1	0	1	0
Q86WC4	1	0	1	0	0	1
Q86X53	1	0	1	0	0	0
Q86X55	1	1	1	1	0	1
Q86XH1	1	0	0	0	1	1
Q86XL3	1	1	1	0	1	1
Q86XP0	0	0	0	1	0	0
Q86Y39	1	0	1	0	1	1
Q86Y79	0	0	0	0	1	0
Q86Y82	0	1	0	0	1	1
Q86YP4	1	0	1	0	1	1
Q86YS7	0	1	0	0	1	1
Q86YT6	1	0	1	1	0	0
Q86Z20	1	1	0	1	1	1
Q96A33	1	1	1	1	0	1
Q96A35	0	0	0	0	0	0
Q96A49	1	1	1	1	0	0
Q96A65	0	0	1	1	0	0
Q96A72	0	0	1	0	0	0
Q96AE4	0	1	1	1	0	0
Q96AG4	1	0	1	0	1	0
Q96AT1	1	0	0	0	1	1
Q96AX1	1	0	1	0	1	1
Q96AY3	1	1	1	1	0	1
Q96B23	1	1	1	0	1	1
Q96B26	0	0	0	0	0	0
Q96BF6	0	0	0	0	0	0
Q96BH1	1	1	1	0	0	1
Q96BK5	0	0	0	0	0	0
Q96BM9;Q9NVJ2	1	1	1	1	0	1
Q96BP2	1	1	1	1	0	0
Q96BR5	0	1	0	1	0	0
Q96BT7	0	0	0	0	0	0
Q96BW9	1	0	1	0	1	1
Q96C19	1	1	1	0	1	1
Q96C36	1	0	1	0	1	0
Q96C57	0	0	0	0	0	0
Q96C90	0	1	0	0	1	1
Q96CM3	0	1	0	0	0	1
Q96CT7	0	0	0	0	0	0
Q96CW1	1	0	1	0	1	1
Q96CX2	1	0	1	0	1	0
Q96D46	0	0	1	1	0	0
Q96DA0	0	1	0	1	0	0
Q96DA6	1	0	1	0	0	0
Q96DB5	0	1	0	0	1	1
Q96DI7	0	1	1	1	0	0
Q96DP5	0	0	1	0	0	1
Q96DR8	1	1	0	0	1	1
Q96DV4	0	0	0	0	1	0
Q96DX7	0	0	0	0	1	0
Q96E11	0	0	0	0	0	0
Q96EB1	1	1	0	1	1	1
Q96EE3	1	1	1	1	0	1
Q96EH3	1	0	1	1	1	0
Q96EI5	1	0	1	1	0	0
Q96EK5	1	1	1	1	0	1
Q96EL2	0	0	0	0	0	0
Q96EL3	0	0	1	1	0	0
Q96EP5	1	0	0	1	1	0
Q96ES7	1	1	1	1	0	0
Q96EV8	1	1	0	0	1	1
Q96EY1	0	0	0	0	1	0
Q96EY4	0	0	0	0	0	0
Q96EY7	0	0	0	0	0	0
Q96EY8	0	0	0	0	0	0
Q96EY9	1	0	0	0	1	1
Q96F07	1	0	1	0	1	1
Q96F45;Q9H7S9	1	0	1	0	0	1
Q96F86	0	0	1	1	0	0
Q96FQ6	1	1	0	0	1	1
Q96FS4	1	1	1	0	1	1
Q96FW1	1	1	1	0	1	1
Q96FX7	0	0	0	0	0	0
Q96G03	0	0	0	0	1	1
Q96G46	1	0	1	0	0	0
Q96G61	1	1	1	0	0	1
Q96GA3	0	0	0	0	0	0
Q96GC5	0	0	1	1	0	0
Q96GK7	0	0	1	1	0	0
Q96GM8	0	0	0	0	0	0
Q96GQ7	0	0	1	0	0	0
Q96GX9	0	1	1	1	0	1
Q96HC4	1	1	1	1	0	1
Q96HE7	0	1	1	1	0	0
Q96HQ2	1	0	1	0	1	1
Q96HR8	0	0	0	0	0	0
Q96HS1	0	0	1	0	0	0
Q96HW7	0	0	0	0	1	1
Q96HY6	1	1	1	1	1	0
Q96I24	1	1	0	1	1	0
Q96I51	0	0	0	0	1	1
Q96I59	1	0	0	1	1	0
Q96I99	1	1	1	1	0	0
Q96II8	0	0	1	1	0	0
Q96IJ6	1	1	1	1	1	0
Q96IT1	1	1	0	1	1	1
Q96IX5	1	1	1	1	0	1
Q96IZ7	0	0	1	0	0	0
Q96J01	0	1	1	1	0	1
Q96JB5	1	0	1	0	0	0
Q96JC1	1	1	1	1	0	0
Q96JD6	0	0	0	1	1	0
Q96JJ7	1	0	1	1	0	0
Q96JK2	1	1	0	1	1	1
Q96JM3	1	1	1	1	1	0
Q96JP5	1	1	1	0	1	1
Q96K76	1	1	1	0	0	1
Q96KA5	1	1	1	1	1	0
Q96KB5	0	0	1	1	0	0
Q96KR1	0	0	0	0	0	0
Q96L92	1	1	1	1	0	1
Q96M27	1	1	1	1	0	1
Q96MD7	1	0	1	0	0	1
Q96MG7	0	0	0	0	1	0
Q96MG8	1	1	0	0	1	1
Q96MH2	1	1	1	0	1	1
Q96MI9	1	1	1	0	1	1
Q96MU7	1	1	0	1	1	1
Q96MX6	1	1	1	0	1	1
Q96N67	1	1	1	1	0	0
Q96P11	0	0	0	0	0	0
Q96P47	0	0	0	0	0	0
Q96P63	0	1	0	1	1	1
Q96PK6	1	1	0	0	1	1
Q96PM5	1	1	1	1	0	0
Q96PU8	1	1	1	1	0	0
Q96PV6	0	1	0	1	1	1
Q96PZ0	0	0	0	0	1	0
Q96Q11	1	0	0	0	1	0
Q96QA5	0	0	0	1	0	0
Q96QC0	0	0	1	0	0	0
Q96QK1	0	1	1	1	0	1
Q96QR8	0	0	0	0	0	0
Q96RE7	0	1	0	0	1	1
Q96RP9	1	0	1	1	0	0
Q96RQ3	1	1	0	1	1	1
Q96RT1	1	1	1	1	0	0
Q96S44	0	0	0	1	0	0
Q96S55	1	1	0	0	1	1
Q96SB3	1	0	1	1	0	0
Q96SB4	0	0	0	0	0	0
Q96SB8	1	1	1	0	1	1
Q96SI9	0	0	1	0	0	0
Q96ST2	1	1	1	1	0	0
Q96ST3	1	1	1	1	1	0
Q96SU4	1	0	1	0	0	1
Q96SW2	0	1	1	1	0	0
Q96SY0	1	1	1	1	0	1
Q96T37	0	0	0	0	0	0
Q96T58	0	0	0	0	0	1
Q96T88	0	0	0	0	0	0
Q147X3	0	0	1	0	0	0
Q149N8	0	1	0	1	1	1
Q00325	0	0	0	0	0	1
Q00341	0	0	0	0	0	0
Q00403	0	0	0	0	1	1
Q504Q3	0	0	1	1	0	0
Q00534	0	0	0	0	1	0
Q00535	0	0	0	0	0	0
Q562F6	0	0	0	0	0	1
Q00577	0	0	0	0	0	0
Q00653	1	0	0	0	1	0
Q658Y4	0	0	0	0	1	0
Q659A1	0	0	1	0	0	0
Q659C4	1	0	0	0	1	0
Q00688	1	0	1	0	1	0
Q709F0	1	0	0	0	1	1
Q00796	0	0	1	1	0	0
Q00839	1	0	0	0	1	0
Q969E8	1	0	0	0	1	1
Q969G3	0	1	1	1	0	1
Q969H8	0	1	0	1	0	0
Q969U6	0	0	1	1	0	0
Q969V3	1	1	1	1	0	1
Q01081	0	0	0	0	0	0
Q01130	0	0	0	0	0	0
Q01469	0	1	0	1	1	1
Q01484	1	0	0	0	1	1
Q01518	1	1	0	0	1	1
Q01581	1	1	1	1	0	1
Q01650	1	1	1	0	1	1
Q01780	0	0	1	1	0	0
Q01831	0	1	0	0	1	1
Q01844	1	0	1	0	1	1
Q01970	0	0	0	0	1	0
Q02040	1	0	1	0	0	0
Q02413	0	1	0	1	1	1
Q02543	0	0	0	0	0	0
Q02750	0	1	1	0	0	1
Q02790	0	1	0	1	0	1
Q02878	0	0	0	1	0	0
Q02952	1	1	1	0	1	1
Q02978	0	1	0	0	0	1
Q03001	1	1	1	0	1	1
Q03111	0	0	0	0	0	1
Q04323	0	1	1	1	0	1
Q04446	0	0	0	0	1	0
Q04721	0	0	1	1	0	0
Q04760	1	1	1	1	0	1
Q04864	1	1	1	0	1	1
Q04917	1	1	1	1	0	1
Q05086	0	0	0	0	0	0
Q05397	0	0	0	0	0	0
Q05519	0	0	0	0	0	0
Q05682	0	0	0	0	0	0
Q06124	0	1	1	1	0	1
Q06203	1	0	1	1	0	0
Q06265	0	0	0	0	0	0
Q06330	0	0	0	0	0	0
Q06481	1	1	1	1	0	1
Q06787	0	0	1	1	0	0
Q06830	1	1	1	1	0	0
Q07020	0	0	0	1	0	0
Q07065	1	0	0	0	1	1
Q07157	0	0	1	0	0	0
Q07666	1	1	1	0	1	1
Q07866	1	1	1	1	0	1
Q07954	0	0	0	0	1	1
Q07955	0	0	1	1	0	0
Q08170	1	0	0	0	1	0
Q08188	1	1	1	0	1	1
Q08209	1	1	1	1	0	0
Q08211	0	0	0	0	0	0
Q08379	1	1	1	1	0	1
Q08426	1	1	1	1	1	0
Q08554	1	1	0	1	1	1
Q08752	1	1	1	0	1	1
Q08945	0	0	1	0	0	0
Q09161	0	0	0	0	0	0
Q09666	1	1	0	1	1	0
Q10567	0	0	0	0	0	1
Q10570	0	1	1	1	0	1
Q10713	1	0	1	0	0	1
Q12768	1	1	0	0	1	1
Q12769	0	0	0	0	0	0
Q12770	1	1	1	1	0	0
Q12789	0	0	1	0	0	0
Q12792	1	1	1	0	1	1
Q12797	1	0	1	0	1	0
Q12800	0	0	1	0	0	1
Q12824	1	1	1	0	1	1
Q12834	0	0	0	0	0	0
Q12841	1	1	1	0	0	1
Q12846	1	1	1	0	1	1
Q12849	0	0	0	0	1	1
Q12857	0	0	0	0	0	0
Q12872	0	0	1	0	0	0
Q12873	0	0	0	0	1	1
Q12894	1	1	1	0	1	1
Q12899	0	1	0	1	1	1
Q12904	1	0	1	1	0	0
Q12905	0	0	0	0	0	0
Q12906	0	0	0	0	0	0
Q12926	1	1	1	0	1	1
Q12931	1	1	1	1	0	1
Q12933	0	0	0	0	0	0
Q12959	0	0	0	0	0	0
Q12982;Q86WG3	0	0	0	0	0	0
Q13042	1	1	1	0	1	1
Q13043	1	1	1	1	0	0
Q13045	1	0	1	0	1	1
Q13084	0	0	0	0	1	0
Q13085	1	1	0	1	1	1
Q13112	1	0	1	0	1	0
Q13123	1	1	1	1	1	0
Q13144	0	1	0	1	1	1
Q13148	0	0	1	1	0	0
Q13151	0	0	0	1	0	0
Q13155	1	0	1	1	0	0
Q13162	0	1	1	1	0	1
Q13177	0	0	0	0	0	0
Q13185	1	1	1	1	0	1
Q13188	1	0	1	0	0	0
Q13217	1	0	1	1	0	0
