accession	AMP_vs_Beads_str	AMP_vs_Beads_unst	AMP_vs_K57A_str	AMP_vs_K57A_unst	K57A_vs_Beads_str	K57A_vs_Beads_unst
P00558	0	1	1	1	0	1
P00918	0	0	1	1	0	0
P01040	0	0	0	0	1	0
P01834;P0DOX7	1	1	0	0	1	1
P01857;P0DOX5	0	0	1	0	0	0
P01860	1	1	1	0	1	1
P02545	0	1	0	0	0	1
P02768	1	1	0	0	1	1
P03928	0	0	0	0	0	0
P04040	0	1	0	0	0	1
P04066	1	1	1	0	0	1
P04075	1	1	1	1	0	0
P04080	1	1	0	0	1	1
P04179	0	0	0	0	1	0
P04181	1	1	1	1	0	1
P04183	1	1	1	1	0	1
P04279	0	1	0	1	0	1
P04632	0	1	1	1	0	0
P04637	1	1	0	1	1	1
P04792	1	1	0	1	1	1
P04818	1	1	1	1	0	1
P05089	0	1	0	0	1	1
P05109	1	1	0	1	1	1
P05141	0	0	0	0	0	1
P05165	1	1	0	1	1	1
P05166	1	1	0	1	1	1
P05198	0	0	0	0	0	0
P05204	0	0	0	0	1	0
P05386	1	0	1	1	0	0
P05387	0	0	1	1	0	0
P05388	0	0	1	1	0	0
P05412	0	0	0	0	1	1
P05423	1	0	1	0	0	1
P05455	0	0	0	0	0	0
P05556	0	1	0	1	0	1
P06132	1	0	0	0	1	1
P06280	0	0	0	0	1	1
P06454	0	0	1	0	0	0
P06493	0	1	1	1	0	0
P06702	1	1	0	1	1	1
P06730	1	1	0	0	1	1
P06733	0	1	1	1	0	1
P06737	0	0	1	1	0	0
P06744	0	1	1	1	0	1
P06746	0	1	0	0	0	1
P06748	0	0	1	0	0	0
P06865	0	0	0	0	0	0
P06899;P23527;P33778;Q16778	0	0	0	0	0	0
P07108	0	0	0	0	0	0
P07195	0	1	1	1	0	1
P07196	1	1	1	1	1	0
P07203	1	1	1	1	0	0
P07355	1	1	0	1	1	1
P07384	1	1	0	1	1	1
P07476	0	1	0	1	1	0
P07602	0	1	0	1	1	1
P07737	0	1	1	1	0	1
P07741	1	1	1	1	0	0
P07814	1	1	1	1	1	0
P07858	1	1	0	1	1	0
P07900	1	1	1	1	0	1
P07910	1	0	1	0	1	0
P08134	1	1	1	1	0	1
P08195	1	1	1	1	0	0
P08238	1	1	1	1	0	1
P08240	1	1	0	0	1	1
P08243	1	1	1	1	0	1
P08397	0	1	0	0	1	1
P08559	1	1	1	1	0	0
P08579	0	0	0	0	1	1
P08621	0	0	0	0	0	0
P08651	0	0	0	0	0	0
P08708	0	0	0	0	0	0
P08758	0	1	1	1	0	1
P08865	1	0	1	0	0	0
P09001	0	0	0	0	0	0
P09012	0	0	0	0	0	0
P09110	1	1	0	1	1	1
P09132	0	0	0	0	0	0
P09211	0	1	1	1	0	1
P09234	0	0	0	0	0	0
P09429	0	0	1	0	0	0
P09493	1	1	1	0	1	1
P09543	0	1	0	1	1	1
P09651	0	0	0	1	0	0
P09661	0	0	0	0	1	1
P09669	1	1	1	1	0	1
P09874	1	0	0	0	1	0
P09936	0	0	0	0	0	0
P09960	0	0	1	1	0	0
P10155	0	0	0	0	0	0
P10412	1	1	1	0	1	1
P10599	0	1	1	1	0	1
P10619	0	1	0	1	0	0
P10644	1	1	1	1	0	0
P10809	1	1	1	1	0	0
P11047	1	1	0	0	1	1
P11171	1	0	1	0	1	0
P11172	1	1	1	1	0	1
P11182	1	1	0	1	1	1
P11387	0	0	0	0	0	0
P11413	0	0	1	0	0	0
P11498	1	1	0	1	1	1
P11586	1	1	1	1	0	1
P11802	0	1	1	1	0	0
P11940	1	1	0	1	1	1
P12074	0	0	0	1	0	0
P12081	0	0	1	0	0	0
P12235	0	1	1	1	0	1
P12236	0	0	0	0	0	0
P12268	1	1	1	1	0	1
P12273	1	1	0	1	1	1
P12277	0	1	1	1	0	0
P12429	0	0	0	0	1	1
P12532	0	0	0	1	0	0
P12955	0	0	0	1	0	0
P12956	0	0	0	0	1	0
P12755	0	0	1	1	0	0
P13010	0	0	0	0	1	0
P13073	1	1	1	1	0	1
P13473	1	1	1	1	0	0
P13489	1	1	1	1	0	1
P13639	1	1	1	1	0	1
P13667	0	0	1	0	0	0
P13674	0	1	0	1	0	0
P13693	0	1	0	1	0	0
P13804	1	1	1	1	0	1
P13984	0	0	1	1	0	0
P13995	1	1	1	1	0	1
P14174	0	1	1	1	0	1
P14324	0	0	0	1	0	0
P14406	1	1	1	0	1	1
P14550	0	1	0	1	0	1
P14618	0	1	1	1	0	0
P14625	1	1	1	1	0	1
P14635	1	0	1	0	0	1
P14678;P63162	0	0	0	0	0	0
P14735	1	1	1	0	1	1
P14854	1	1	1	1	0	1
P14866	0	0	1	0	0	0
P14868	0	1	1	1	0	0
P14927	0	0	0	0	0	0
P15104	1	1	1	1	1	0
P15121	0	0	0	0	0	0
P15170	1	1	1	1	0	0
P15311	1	0	1	0	0	0
P15374	1	1	1	1	0	1
P15531	1	1	1	1	0	1
P15586	1	1	1	0	1	1
P15735	0	1	0	0	0	1
P15880	0	0	0	1	0	0
P15884;Q99081	0	0	0	0	1	1
P15924	0	1	0	1	1	1
P15927	1	1	0	1	1	1
P16070	1	0	1	1	0	0
P16152	0	0	0	0	0	1
P16220	0	0	0	0	1	0
P16278	1	1	1	0	1	1
P16402	1	1	1	0	1	1
P16403	1	1	1	0	0	1
P16435	1	1	1	1	0	1
P16989	1	1	1	1	0	1
P17050	0	1	0	1	0	1
P17480	0	0	1	0	0	0
P17612	0	1	0	1	0	1
P17655	0	1	1	1	0	0
P17844	0	0	0	0	0	0
P17900	1	0	0	0	1	0
P17931	0	0	0	0	0	0
P17987	1	1	1	1	0	1
P18031	1	0	0	0	1	0
P18077	0	0	0	0	0	0
P18124	0	0	0	0	0	0
P18206	1	1	0	1	1	1
P18583	0	0	0	0	1	1
P18621	0	0	0	1	0	0
P18669	1	1	1	1	0	1
P18754	0	0	0	0	1	0
P18887	1	1	1	1	0	0
P19022;P55283	0	0	0	0	0	0
P19338	0	0	0	0	0	0
P19388	1	1	0	0	1	1
P19447	0	1	0	0	1	1
P19525	0	0	0	0	1	0
P19622	0	0	1	0	0	0
P19623	1	0	1	1	0	0
P19784	0	1	1	1	0	1
P19838	1	1	0	1	1	1
P19957	0	0	0	0	0	0
P20042	0	0	0	0	0	0
P20073	0	1	0	1	0	1
P20290	0	0	0	0	0	0
P20645	1	0	1	0	0	0
P20839	0	0	0	0	1	1
P21266	0	0	0	0	0	0
P21397	1	1	1	1	0	0
P21399	1	1	0	0	1	1
P21912	1	1	1	1	0	1
P21964	0	0	0	0	0	0
P22033	1	0	1	0	1	0
P22061	1	1	0	1	1	1
P22087	0	0	0	1	0	0
P22102	1	1	1	1	0	1
P22234	0	1	1	1	0	0
P22304	0	0	0	0	0	0
P22307	0	1	0	1	0	1
P22314	1	1	1	1	0	1
P22392	0	1	1	1	0	0
P22413	1	1	1	0	1	1
P22626	0	0	0	1	0	0
P22735	1	1	0	0	1	1
P23193	0	0	1	1	0	0
P23246	0	0	1	0	0	0
P23258	1	0	0	0	1	0
P23284	1	0	1	0	0	0
P23368	1	0	1	0	1	1
P23381	1	1	1	1	0	0
P23396	0	1	0	0	0	1
P23490	0	0	0	0	0	1
P23508	1	1	0	1	1	1
P23526	0	1	1	1	0	1
P23528	1	1	1	1	1	0
P23588	1	1	0	1	1	1
P23919	1	1	1	1	0	1
P23921	1	1	1	1	0	1
P24534	1	1	1	0	1	1
P24539	1	1	1	0	0	1
P24666	1	0	1	1	0	0
P24752	1	1	1	1	0	1
P24821	1	1	1	1	0	0
P24941	0	1	1	1	0	1
P25205	1	0	1	1	0	0
P25311	1	0	0	0	1	1
P25398	1	0	1	0	0	0
P25440	0	0	1	1	0	0
P26038	0	1	1	1	0	0
P26196	1	0	0	0	1	0
P26358	0	0	0	0	0	0
P26368	0	0	0	0	0	0
P26373	0	0	0	1	0	0
P26583	0	0	1	1	0	0
P26599	0	0	1	0	0	0
P26639	0	0	1	1	0	0
P26640	1	1	1	0	1	1
P26641	1	1	1	0	1	1
P27144	0	0	0	0	1	0
P27361	0	0	0	0	0	0
P27482	1	1	0	1	1	1
P27635	0	0	0	0	0	0
P27694	1	1	0	1	1	1
P27695	0	0	0	0	1	0
P28288	1	1	0	1	1	1
P28289	1	1	1	0	1	1
P28290	1	1	1	1	1	0
P28482	1	1	1	1	0	1
P28676	1	0	0	0	1	1
P28702	0	0	0	0	1	0
P28838	0	1	0	1	0	1
P29083	1	0	1	0	0	0
P29084	0	0	0	0	0	0
P29144	0	1	0	1	0	0
P29372	0	0	0	0	0	0
P29373	1	1	0	1	1	0
P29401	0	1	1	1	0	1
P29558	1	0	1	0	1	1
P29692	1	1	1	0	1	1
P29966	1	0	0	0	1	1
P29992	1	1	1	1	0	1
P30040	0	0	1	1	0	0
P30041	1	1	0	1	1	1
P30044	0	0	1	1	0	0
P30046	0	0	1	1	0	0
P30048	1	1	1	1	0	1
P30049	1	1	0	1	1	1
P30050	0	0	1	1	0	0
P30084	0	1	1	1	0	1
P30086	0	0	1	0	0	0
P30101	0	1	1	1	0	0
P30153	1	1	1	1	0	1
P30154	1	1	1	0	1	1
P30260	0	0	1	1	0	0
P30405	0	1	0	1	0	1
P30419	0	0	0	0	0	0
P30520	0	1	1	0	0	1
P30566	0	0	0	0	1	1
P30825	1	1	1	0	1	1
P30837	1	1	1	1	0	0
P31040	1	1	1	1	0	1
P31150	1	0	0	0	1	1
P31151	1	1	0	0	1	1
P31153	1	1	1	1	0	1
P31327	0	0	0	0	1	0
P31483	0	0	0	0	1	0
P31629	0	0	0	0	1	1
P31689	1	1	1	1	0	0
P31939	0	0	1	1	0	0
P31942	1	1	1	1	1	0
P31944	1	1	0	1	1	1
P31947	1	1	1	1	1	0
P31948	1	1	1	1	0	1
P31949	1	1	0	1	1	1
P32119	0	1	1	1	0	0
P32322	0	0	0	0	1	0
P32969	0	0	0	0	0	0
P33121	0	0	0	0	1	0
P33316	0	1	1	1	0	1
P33552	0	0	1	1	0	0
P33764	0	0	0	0	1	0
P33947	0	1	0	0	1	1
P33992	1	1	1	1	0	0
P35240	0	0	0	0	0	0
P35241	1	1	0	0	1	1
P35244	1	1	0	1	1	1
P35249	0	0	1	0	0	0
P35250	1	1	0	1	1	1
P35251	0	0	0	0	0	0
P35268	0	0	0	0	0	0
P35269	0	0	1	0	0	0
P35326	1	0	1	0	1	0
P35610	0	0	0	0	0	0
P35611	0	1	0	1	0	0
P35612	0	0	0	0	0	0
P35613	1	1	1	1	0	1
P35637	1	0	0	0	1	0
P35658	1	1	1	1	0	0
P35659	0	0	1	1	0	0
P36405	0	0	0	1	0	0
P36507	0	1	1	1	0	1
P36543	1	1	1	1	0	1
P36551	0	1	1	1	0	0
P36578	0	0	0	1	0	0
P36776	1	1	1	1	0	0
P36873	1	0	1	1	1	0
P36954	1	1	1	1	0	1
P37108	0	0	0	0	0	0
P37198	1	1	1	1	0	0
P37837	0	0	0	0	0	0
P38117	1	1	1	1	0	1
P38159	0	0	0	1	0	0
